Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 3FX,63,58.33%,31,28.70%,4,3.70%,8,7.41%
CF24 3FS,63,58.33%,31,28.70%,4,3.70%,8,7.41%
CF24 3EQ,74,43.53%,30,17.65%,0,0.00%,60,35.29%
CF24 3AW,77,43.02%,9,5.03%,1,0.56%,91,50.84%
CF24 3AU,77,43.02%,9,5.03%,1,0.56%,91,50.84%
CF24 3AP,77,43.02%,9,5.03%,1,0.56%,91,50.84%
CF24 3AH,77,43.02%,9,5.03%,1,0.56%,91,50.84%
CF24 3AG,77,43.02%,9,5.03%,1,0.56%,91,50.84%
CF24 3AF,77,43.02%,9,5.03%,1,0.56%,91,50.84%
CF24 3FT,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3FR,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3FQ,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3FP,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3FN,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3FL,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3FD,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3EF,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3BR,42,21.43%,11,5.61%,3,1.53%,134,68.37%
CF24 3AY,42,21.43%,11,5.61%,3,1.53%,134,68.37%
CF24 3AR,42,21.43%,11,5.61%,3,1.53%,134,68.37%
CF24 3AL,42,21.43%,11,5.61%,3,1.53%,134,68.37%
CF24 3FG,23,20.91%,31,28.18%,0,0.00%,55,50.00%
CF24 3ER,29,16.11%,45,25.00%,1,0.56%,103,57.22%
CF24 3EH,29,16.11%,45,25.00%,1,0.56%,103,57.22%
CF24 3ED,29,16.11%,45,25.00%,1,0.56%,103,57.22%
CF24 3BL,29,16.11%,45,25.00%,1,0.56%,103,57.22%
CF24 3BN,23,15.23%,28,18.54%,1,0.66%,93,61.59%
CF24 3BG,23,15.23%,28,18.54%,1,0.66%,93,61.59%
CF24 3BE,23,15.23%,28,18.54%,1,0.66%,93,61.59%
CF24 3BD,23,15.23%,28,18.54%,1,0.66%,93,61.59%
CF24 3AT,23,15.23%,28,18.54%,1,0.66%,93,61.59%
CF24 3LB,14,10.37%,44,32.59%,0,0.00%,75,55.56%
CF24 3JW,14,10.37%,44,32.59%,0,0.00%,75,55.56%
CF24 3JS,14,10.37%,44,32.59%,0,0.00%,75,55.56%
CF24 3FH,14,10.29%,18,13.24%,0,0.00%,103,75.74%
CF24 3EP,11,9.32%,6,5.08%,0,0.00%,99,83.90%
CF24 3AX,11,9.32%,6,5.08%,0,0.00%,99,83.90%
CF24 3AN,11,9.32%,6,5.08%,0,0.00%,99,83.90%
CF24 3AE,11,9.32%,6,5.08%,0,0.00%,99,83.90%
CF24 3AD,11,9.32%,6,5.08%,0,0.00%,99,83.90%
CF24 3AB,11,9.32%,6,5.08%,0,0.00%,99,83.90%
CF24 3AA,11,9.32%,6,5.08%,0,0.00%,99,83.90%
CF24 3FE,18,8.78%,27,13.17%,0,0.00%,151,73.66%
CF24 3EG,18,8.78%,27,13.17%,0,0.00%,151,73.66%
CF24 3BQ,18,8.78%,27,13.17%,0,0.00%,151,73.66%
CF24 3BP,18,8.78%,27,13.17%,0,0.00%,151,73.66%
CF24 3BH,18,8.78%,27,13.17%,0,0.00%,151,73.66%
CF24 3EY,9,7.32%,64,52.03%,0,0.00%,50,40.65%
CF24 3EZ,10,7.09%,75,53.19%,0,0.00%,53,37.59%
CF24 3GB,15,7.01%,10,4.67%,0,0.00%,186,86.92%
CF24 3EU,15,7.01%,10,4.67%,0,0.00%,186,86.92%
CF24 3GN,9,6.82%,56,42.42%,1,0.76%,60,45.45%
CF24 3EN,9,6.82%,56,42.42%,1,0.76%,60,45.45%
CF24 3EL,9,6.82%,56,42.42%,1,0.76%,60,45.45%
CF24 3EJ,9,6.82%,56,42.42%,1,0.76%,60,45.45%
CF24 3EE,9,6.82%,56,42.42%,1,0.76%,60,45.45%
CF24 3EB,9,6.82%,56,42.42%,1,0.76%,60,45.45%
CF24 3AS,11,6.51%,8,4.73%,1,0.59%,147,86.98%
CF24 3AQ,11,6.51%,8,4.73%,1,0.59%,147,86.98%
CF24 3AJ,11,6.51%,8,4.73%,1,0.59%,147,86.98%
CF24 3LY,7,5.74%,63,51.64%,0,0.00%,47,38.52%
CF24 3LW,7,5.74%,63,51.64%,0,0.00%,47,38.52%
CF24 3LU,7,5.74%,63,51.64%,0,0.00%,47,38.52%
CF24 3LT,7,5.74%,63,51.64%,0,0.00%,47,38.52%
CF24 3GA,4,5.13%,3,3.85%,0,0.00%,70,89.74%
CF24 3BF,4,5.13%,3,3.85%,0,0.00%,70,89.74%
CF24 3LH,7,4.70%,33,22.15%,0,0.00%,104,69.80%
CF24 3JX,7,4.70%,33,22.15%,0,0.00%,104,69.80%
CF24 3JR,7,4.70%,33,22.15%,0,0.00%,104,69.80%
CF24 3JN,7,4.70%,33,22.15%,0,0.00%,104,69.80%
CF24 3JL,7,4.70%,33,22.15%,0,0.00%,104,69.80%
CF24 3JJ,7,4.70%,33,22.15%,0,0.00%,104,69.80%
CF24 3FA,7,4.70%,33,22.15%,0,0.00%,104,69.80%
CF24 3LX,5,4.35%,46,40.00%,0,0.00%,58,50.43%
CF24 3LS,5,4.35%,46,40.00%,0,0.00%,58,50.43%
CF24 3LD,5,4.35%,46,40.00%,0,0.00%,58,50.43%
CF24 3EW,4,4.30%,33,35.48%,0,0.00%,54,58.06%
CF24 3ES,4,4.30%,33,35.48%,0,0.00%,54,58.06%
CF24 3BJ,4,4.30%,33,35.48%,0,0.00%,54,58.06%
CF24 3BB,4,4.30%,33,35.48%,0,0.00%,54,58.06%
CF24 3BA,4,4.30%,33,35.48%,0,0.00%,54,58.06%
CF24 3AZ,4,4.30%,33,35.48%,0,0.00%,54,58.06%
CF24 3LP,4,3.36%,47,39.50%,0,0.00%,62,52.10%
CF24 3LN,4,3.36%,47,39.50%,0,0.00%,62,52.10%
CF24 3LL,4,3.36%,47,39.50%,0,0.00%,62,52.10%
CF24 3NA,4,2.41%,57,34.34%,1,0.60%,98,59.04%
CF24 3LR,4,2.41%,57,34.34%,1,0.60%,98,59.04%
CF24 3LQ,4,2.41%,57,34.34%,1,0.60%,98,59.04%
CF24 3JQ,2,1.75%,76,66.67%,2,1.75%,32,28.07%
CF24 3JP,2,1.75%,76,66.67%,2,1.75%,32,28.07%
CF24 3EX,2,1.75%,76,66.67%,2,1.75%,32,28.07%
CF24 3JT,2,1.68%,65,54.62%,1,0.84%,49,41.18%
CF24 3LA,2,1.49%,78,58.21%,1,0.75%,46,34.33%
CF24 3JZ,2,1.49%,78,58.21%,1,0.75%,46,34.33%
CF24 3JY,2,1.49%,78,58.21%,1,0.75%,46,34.33%
CF24 3JU,2,1.49%,78,58.21%,1,0.75%,46,34.33%
CF24 3LZ,1,0.82%,42,34.43%,0,0.00%,77,63.11%
CF24 3LG,1,0.82%,42,34.43%,0,0.00%,77,63.11%
CF24 3LE,1,0.82%,42,34.43%,0,0.00%,77,63.11%
CF24 3LJ,0,0.00%,57,57.00%,0,0.00%,40,40.00%
CF24 3BS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3BT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3BU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3BW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3BX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3BY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3BZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DQ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3EA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3GP,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HP,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HQ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3JA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3JB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3JD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3JE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3JF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3JG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3JH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QP,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QQ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RP,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RQ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SP,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3TQ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3TW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3UN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3UR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3UW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3UX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3WD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3WN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3XL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3YB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3YR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3YW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3YX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3YZ,Error,Error,Error,Error,Error,Error,Error,Error
